категория;слово;варианты;теги;комментарий
спорт;растяжка;девочка, мальчик;тянуться;
спорт;дыхание;девочка, мальчик;дышать, вдох, выдох, успокоиться;
спорт;плавать в бассейне;девочка, мальчик;бассейн, плавание;было: «плавать бассейн»
спорт;футбол;девочка, мальчик;мяч;
спорт;баскетбол;девочка, мальчик;мяч;
спорт;танцевать;девочка, мальчик;танцы, музыка;
спорт;йога;девочка, мальчик;упражнения;
спорт;обруч;девочка, мальчик;хулахуп;
спорт;скакалка;девочка, мальчик;прыгать;
спорт;шведская стенка;девочка, мальчик;лазать;
спорт;велосипед;девочка, мальчик;кататься;
спорт;самокат;девочка, мальчик;кататься;
спорт;коньки;девочка, мальчик;каток, кататься, зима;
спорт;лыжи;девочка, мальчик;зима, кататься;
общение;привет;девочка, мальчик;здравствуй, здороваться;
общение;пока;девочка, мальчик;до свидания, прощаться;
общение;спасибо;девочка, мальчик;благодарю;
общение;пожалуйста;девочка, мальчик;прошу;
общение;извини;девочка, мальчик;прости;
общение;что;без людей;вопрос;
общение;кто;без людей;вопрос;
общение;где;без людей;вопрос;
общение;когда;без людей;вопрос, время;
общение;открой;девочка, мальчик;открыть;
общение;закрой;девочка, мальчик;закрыть;
общение;включи;девочка, мальчик;включить;
общение;выключи;девочка, мальчик;выключить;
общение;идти;девочка, мальчик;пойти, ходить;
общение;смотреть;девочка, мальчик;посмотреть, глаза;
общение;звонить;девочка, мальчик;телефон, позвонить;
чувства;шумно;девочка, мальчик;громко, уши, наушники;
чувства;успокоиться;девочка, мальчик;спокойно, тихо, дыхание;
тело;голова;девочка, мальчик;болит голова;
тело;живот;девочка, мальчик;болит живот;
тело;зуб;девочка, мальчик;болит зуб, зубы;
тело;горло;девочка, мальчик;болит горло;
тело;рука;девочка, мальчик;;
тело;нога;девочка, мальчик;;
тело;доктор;без людей;врач, больница;
тело;лекарство;без людей;таблетка, лечиться;
учёба;садик;без людей;детский сад;
учёба;школа;без людей;учиться;
учёба;урок;девочка, мальчик;учиться, класс;
учёба;занятие;девочка, мальчик;заниматься;
учёба;занятие с педагогом;девочка, мальчик;педагог, учитель;
учёба;логопед;девочка, мальчик;занятие, говорить;
учёба;психолог;девочка, мальчик;занятие;было: «психолок»
учёба;домашнее задание;девочка, мальчик;уроки, учиться;
учёба;читать;девочка, мальчик;чтение, книга;
учёба;книга;без людей;читать;
учёба;писать;девочка, мальчик;письмо, ручка, тетрадь;
учёба;рисовать;девочка, мальчик;рисунок, карандаши;
учёба;поделки;девочка, мальчик;творчество, клеить, лепить;
учёба;музыка;девочка, мальчик;песня, слушать;
учёба;компьютер;без людей;;
учёба;портфель;без людей;рюкзак, школа;
учёба;школьная форма;без людей;форма, одежда;в списке было просто «форма»
учёба;библиотека;без людей;книги;
главная;мама;девочка, мальчик;мама, семья, мамочка;добавлено из админки
действия;складывать;девочка, мальчик;складывать, убирать, наводить порядок, порядок;добавлено из админки
действия;обнять;девочка, мальчик;обнимать, обнимашки, объятия, нежность;добавлено из админки
транспорт;такси;без людей;такси, машина, таксон, чашечки;добавлено из админки
транспорт;остановка;без людей;;добавлено из админки
действия, гигиена;вытирать руки;девочка, мальчик;вытирать, руки, полотенце, мокрые;добавлено из админки
гигиена, действия;мыться;без людей;мыться, душ, принимать душ, подмываться, купаться;добавлено из админки
действия;занятия;девочка;;добавлено автоматически
гигиена, действия;купаться;без людей;купаться, ванная, вана, пена, плавать, мыться;добавлено из админки
транспорт;троллейбус;без людей;троллейбус, тралик, тролейбус, тралейбус, траллейбус;добавлено из админки
транспорт;трамвай;без людей;трамвай, драчка, едет по рельсам;добавлено из админки
действия;кушатть;девочка, мальчик;кушать, есть, хавать, грызть, перекус, еда;добавлено из админки
